posts,type
"I love going to parties and meeting new people. The more, the merrier!", ENFP
"I'm always excited to explore new places and make new friends.", ENFP
"You prefer a close circle of friends", INFP
"Thinking out loud",INFP
"You love being inside the four walls of your room without wanting to go out for hours.", INFP
"You avoid eye contact with most people while talking to them.", INFP
"You have very few friends with whom you are very open but avoid making new ones.", INFP
"Tending to act first before thinking", INFP
"You go out for morning walk to enjoy the nature rather than to actually exercise.", INFP
"When you are on a vacation, you enjoy things that others don't. You observe more than anyone else.", INFP
"Out in the mall, when you see someone who knows you, you start going in the opposite direction to avoid meeting him/her.", INFP
"You are reading books on weekends.", INFP
"You are SUPER crazy about correctness of grammar.", INFP
"You have an insecurity somewhere in your heart (regarding anything - looks, height, career, relationships etc.), but you are perfectly able to hide it from others.", INFP
"You are less fearless than others. But you do know the line between confidence and overconfidence.", INFP
"You tend to daydream more than others. You love the virtual world you have created.", INFP
"You are egoistic. You deny that.", INFP
"You love being inside the four walls of your room without wanting to go out for hours.", INFP
"You avoid eye contact with most people while talking to them.", INFP
"You have very few friends with whom you are very open but avoid making new ones.", INFP
"You go out for morning walk to enjoy the nature rather than to actually exercise.", INFP
"When you are on a vacation, you enjoy things that others don't. You observe more than anyone else.", INFP
"Out in the mall, when you see someone who knows you, you start going in the opposite direction to avoid meeting him/her.", INFP
"You are reading books on weekends.", INFP
"You are SUPER crazy about correctness of grammar.", INFP
"You have an insecurity somewhere in your heart (regarding anything - looks, height, career, relationships etc.), but you are perfectly able to hide it from others.", INFP
"You are less fearless than others. But you do know the line between confidence and overconfidence.", INFP
"You tend to daydream more than others. You love the virtual world you have created.", INFP
"You are egoistic. You deny that.", INFP
"You don't worry much about fashion.", INFP
"You are always thinking about something. Many times, you think more than necessary. You can sometimes be very optimistic but adhere to pessimism at other times.", INFP
"You are often fighting with the personalities within yourself.", INFP
"You tend to get depressed more than others. Sometimes you care about things too much and end up hurting your own image in yourself.", INFP
"You never ask your crush out. That ‘taking the time’ phase does not end.", INFP
"When someone asks you out, you first think 'S/He is surely kidding. All this is a prank. How can someone like me?'", INFP
"If you are in a relationship, you would do anything that makes your partner happy. That includes giving up some of your introverted nature.", INFP
"You avoid parties altogether; or make sure you have a way out.", INFP
"You are not lazy, you are just not interested at all.", INFP
"You avoid reading WhatsApp messages especially from those not so close to you, so that you remain unseen.", INFP
"You, VERRRRYYYY rarely, post or share anything on Facebook.", INFP
"You are amazingly talented, but prefer to practice it all alone inside your room. You’re actually afraid of being harshly judged.", INFP
"You have a concept of religion that no one else has.", INFP
